161,age,gender,genderpref,height,ethnicity,birthplace,Politics,religion,year,activities,college,major,brbs,snack,prelim,meme,friday,date,work,sleep,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,numdated,longestrelationship,toolongtext,commitment
item6,20,male,female,71,latino,"Medellin, Colombia",3,2,sophomore,"['socialclub', 'culturalclub', 'profclub']",humec,Policy Analysis and Management ,item13,item5,item5,item6,item2,item4,19:00,7to9,Sort of Agree,Sort of Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Sort of Agree,Agree,0,0,48,willsee
item3,22,male,female,66,asian,Flushing,3,1,grad,['otherclub'],engineering,Civil Engineering,item13,item4,item2,item6,item1,item8,17:00,7to9,Agree,Sort of Agree,Sort of Agree,Disagree,Agree,Sort of Agree,Disagree,Disagree,Agree,Sort of Agree,Disagree,Sort of Agree,Sort of Agree,Strongly Agree,2,3,5,willsee
item2,18,female,male,60,white,Houston,3,3,freshman,,arts,Economics,item11,item5,item2,item1,item3,item3,12:30,7to9,Disagree,Sort of Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Sort of Agree,Agree,Strongly Disagree,Sort of Agree,,,72,willsee
item6,18,male,female,69,white,"Dallas, Texas",3,1,freshman,['profclub'],hotel,Hotel Administration ,item9,item3,item7,item7,item2,item4,12:00,7to9,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,2,3,48,willsee
item5,19,male,female,71,white,"Phoenix, Arizona",1,1,sophomore,['socialclub'],humec,Policy Analysis and Management,item13,item6,item3,item7,item2,item4,Night,4to6,Agree,Sort of Agree,Strongly Agree,Sort of Agree,Agree,Agree,Agree,Agree,Sort of Agree,Disagree,Sort of Agree,Agree,Agree,Sort of Agree,3,8 months,12 hours,married
item5,20,male,male,72,latino,Miami,1,1,junior,"['socialclub', 'culturalclub']",arts,Chemistry,item9,item6,item7,item6,item1,item4,19:00,7to9,Agree,Agree,Sort of Agree,Disagree,Sort of Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,3,3,24,willsee
item6,21,male,female,74,white,"Ridgewood, NJ",4,3,senior,"['greeklife', 'projectteam', 'clubsports']",engineering,Mechanical Engineering,item13,item4,item3,item2,item5,item4,Morning and Mid Afternoon,7to9,Agree,Agree,Sort of Agree,Disagree,Agree,Sort of Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Sort of Agree,Agree,2,29,1.5,willsee
item2,20,male,female,71,white,"Washington, D.C.",3,4,junior,['clubsports'],engineering,Computer Science,item7,item1,item3,item6,item4,item5,0:00,0,Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Sort of Agree,Disagree,Disagree,Agree,Sort of Agree,0,0,,willsee
item6,21,female,male,66,white,"Washington, D.C.",1,1,senior,"['greeklife', 'otherclub']",ilr,Industrial and Labor Relations,item10,item3,item1,item1,item3,item4,Afternoon,7to9,Agree,Sort of Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Sort of Agree,Strongly Agree,Agree,Agree,Sort of Agree,Disagree,Agree,Agree,1,13,12,willsee
item2,21,female,male,68,white,"Chicago, Illinois ",3,3,junior,"['profclub', 'socialclub', 'otherclub']",arts,Psychology ,item9,item2,item1,item2,item1,item3,16:45,7to9,Agree,Strongly Agree,Disagree,Disagree,Sort of Agree,Disagree,Sort of Agree,Agree,Agree,Sort of Agree,Disagree,Disagree,Sort of Agree,Sort of Agree,1,36,36,meetfam
item2,18,female,male,67,asian,New York City,2,1,freshman,"['projectteam', 'otherclub']",engineering,Computer Science,item4,item1,item3,item3,item1,item1,13:30,7to9,Sort of Agree,Sort of Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Sort of Agree,Agree,Strongly Agree,Sort of Agree,Agree,3,6,3,willsee
item6,20,male,male,70,white,Suwanee GA,1,1,sophomore,['otherclub'],cals,Animal Science,item6,item4,item3,item1,item2,item3,14:00,7to9,Agree,Agree,Disagree,Agree,Sort of Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Sort of Agree,Strongly Agree,1,16,24,willsee
item6,23,male,female,72,asian,San Francisco,1,3,grad,"['culturalclub', 'projectteam']",engineering,Systems Engineering,item9,item3,item7,item2,item4,item4,22:00,4to6,Disagree,Disagree,Agree,Disagree,Sort of Agree,Disagree,Agree,Strongly Disagree,Agree,Sort of Agree,Strongly Disagree,Sort of Agree,Agree,Disagree,4,5,5,willsee
item2,21,female,male,64,asian,Seoul,2,1,junior,['otherclub'],cals,Food Science,item13,item1,item7,item6,item6,item3,22:39,7to9,Agree,Sort of Agree,Agree,Agree,Sort of Agree,Disagree,Sort of Agree,Disagree,Sort of Agree,Sort of Agree,Agree,Sort of Agree,Sort of Agree,Sort of Agree,4,11,6,willsee
item2,20,male,male,74,asian,Rawalpindi,1,4,junior,"['socialclub', 'culturalclub']",humec,Pam,item3,item2,item7,item6,item1,item2,21:00,7to9,Strongly Agree,Strongly Agree,Sort of Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Sort of Agree,Agree,Sort of Agree,2,19,12,married
item2,21,female,male,68,white,"Saint Joseph, Michigan",4,4,junior,"['projectteam', 'socialclub', 'culturalclub', 'otherclub', 'ta']",cals,"International Agriculture and Rural Development, Development Sociology",item11,item6,item1,item1,item4,item7,10:00,7to9,Agree,Agree,Disagree,Sort of Agree,Sort of Agree,Disagree,Disagree,Disagree,Sort of Agree,Agree,Agree,Sort of Agree,Sort of Agree,Sort of Agree,2,2,72,meetfam
item3,20,male,female,72,black,"Brooklyn, New York",2,1,junior,['socialclub'],arts,Mathematics,item6,item1,item7,item2,item1,item1,19:00,7to9,Sort of Agree,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,Strongly Disagree,Strongly Agree,Disagree,Sort of Agree,Strongly Agree,Sort of Agree,Sort of Agree,Sort of Agree,Agree,0,N/A,12,meetfam
item2,18,female,male,66,other,New York,2,3,freshman,['otherclub'],arts,English,item5,item6,item7,item1,item3,item1,20:30,4to6,Strongly Agree,Sort of Agree,Disagree,Disagree,Sort of Agree,Disagree,Disagree,Strongly Disagree,Sort of Agree,Sort of Agree,Disagree,Agree,Agree,Agree,3,42,3 hours,willsee
item4,19,male,female,68,asian,"Edison, New Jersey",3,2,sophomore,['profclub'],hotel,Hotel Administration ,item6,item4,item7,item2,item4,item4,21:00,4to6,Agree,Sort of Agree,Disagree,Sort of Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Sort of Agree,Strongly Agree,Sort of Agree,Sort of Agree,Agree,0,0,36,willsee
item4,21,female,male,66,asian,Towson,2,2,junior,"['greeklife', 'projectteam', 'clubsports', 'ta', 'culturalclub']",arts,Economics,item13,item4,item7,item3,item5,item7,21:00,7to9,Sort of Agree,Sort of Agree,Disagree,Disagree,Agree,Sort of Agree,Disagree,Strongly Agree,Sort of Agree,Agree,Sort of Agree,Disagree,Sort of Agree,Agree,1,30,24,willsee
item2,20,female,male,66,white,New York,1,1,junior,"['otherclub', 'socialclub']",arts,Earth and Atmospheric Sciences,item3,item3,item7,item7,item1,item3,Early afternoon,4to6,Agree,Agree,Disagree,Agree,Sort of Agree,Sort of Agree,Sort of Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,2,10,I don't really care about texting,willsee
item6,20,female,male,67,white,New York ,2,3,junior,"['greeklife', 'proffrat', 'otherclub']",hotel,Hospitality Administration,item6,item5,item2,item2,item5,item4,13:30,7to9,Agree,Agree,Disagree,Sort of Agree,Agree,Strongly Disagree,Agree,Agree,Sort of Agree,Agree,Agree,Disagree,Sort of Agree,Agree,0,0,3 hours ,willsee
item6,19,male,female,68,other,Nyc,1,1,sophomore,"['greeklife', 'clubsports', 'projectteam']",engineering,Operations Research,item13,item2,item2,item3,item1,item1,19:31,4to6,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Sort of Agree,Strongly Agree,Agree,Sort of Agree,Agree,Agree,Sort of Agree,Sort of Agree,2,4,36,willsee
item3,18,female,male,67,white,Boston,2,1,freshman,['clubsports'],arts,Mathematics,item5,item1,item1,item3,item2,item6,20:00,7to9,Agree,Sort of Agree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,Sort of Agree,Strongly Agree,2,5,? ,willsee
item6,19,female,male,65,white,"Hinsdale, IL",2,2,sophomore,"['greeklife', 'otherclub']",cals,Animal Science ,item11,item5,item2,item6,item2,item4,8pm-1am,4to6,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Sort of Agree,Sort of Agree,Disagree,Disagree,Agree,Strongly Agree,Sort of Agree,Sort of Agree,Disagree,2,23,3,willsee
item2,23,female,male,66,white,NYC,4,3,alum,"['proffrat', 'ta']",arts,Government,item12,item1,item5,item2,item1,item1,15:00,7to9,Agree,Agree,Disagree,Disagree,Sort of Agree,Disagree,Disagree,Sort of Agree,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,Sort of Agree,Sort of Agree,2,10,14,willsee
item2,19,male,female,72,asian,Washington DC,1,2,sophomore,"['projectteam', 'clubsports', 'otherclub']",engineering,Mechanical Engineering,item2,item1,item2,item1,item3,item7,9:32,7to9,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Sort of Agree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,1,1,4,willsee
item6,22,male,female,67,asian,Calcutta,3,3,grad,"['projectteam', 'clubsports', 'ta']",engineering,Aerospace Engineering,item3,item4,item7,item3,item2,item8,0:30,7to9,Agree,Sort of Agree,Sort of Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Sort of Agree,Sort of Agree,Sort of Agree,Strongly Agree,2,20,8,willsee
item6,19,male,female,75,asian,Oak Ridge TN,3,2,freshman,['profclub'],arts,Statistics,item5,item4,item3,item2,item2,item8,21:30,7to9,Agree,Agree,Disagree,Disagree,Agree,Sort of Agree,Sort of Agree,Sort of Agree,Agree,Sort of Agree,Sort of Agree,Disagree,Disagree,Agree,1,2 weeks,24 hours,willsee
item6,21,male,female,70,white,"Pohang, South Korea",3,2,junior,"['proffrat', 'profclub', 'ta']",engineering,Operations Research,item3,item3,item5,item3,item2,item6,1:00,4to6,Disagree,Sort of Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,1,12,5,willsee
item3,20,male,female,69,asian,Manhasset,3,3,sophomore,"['proffrat', 'otherclub', 'culturalclub']",ilr,Industrial and Labor Relations/Pre-Law,item3,item4,item7,item2,item2,item7,16:30,7to9,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,Agree,Disagree,Strongly Agree,Sort of Agree,Agree,Strongly Agree,Sort of Agree,Disagree,Disagree,Disagree,1,4 months,5 hours? ,meetfriends
item6,19,female,male,67,white,philadelphia,3,4,sophomore,['athlete'],cals,Information Science,item6,item5,item5,item4,item6,item1,17:00,7to9,Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Sort of Agree,Strongly Agree,Disagree,Disagree,Sort of Agree,Agree,3,9,2,willsee
item3,18,female,male,65,white,London ,2,3,freshman,"['culturalclub', 'socialclub', 'greeklife']",engineering,Biomedical Engineering,item4,item1,item5,item2,item5,item4,19:00,7to9,Disagree,Disagree,Sort of Agree,Sort of Agree,Sort of Agree,Disagree,Strongly Agree,Disagree,Disagree,Sort of Agree,Agree,Sort of Agree,Sort of Agree,Agree,2,3,3,meetfriends
item6,20,female,male,69,white,"Radnor, PA",2,1,junior,['athlete'],arts,Biology and Society,item13,item1,item7,item7,item1,item3,9:00,7to9,Strongly Agree,Agree,Disagree,Disagree,Agree,Sort of Agree,Sort of Agree,Sort of Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,1,11.5,12,willsee
item6,18,male,female,74,white,Tucson,3,2,freshman,['athlete'],engineering,Unaffiliated,item9,item4,item7,item6,item5,item7,22:30,4to6,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Disagree,Sort of Agree,Agree,Sort of Agree,Sort of Agree,Agree,2,3,8,willsee
item2,21,male,female,72,white,NYC,1,1,junior,"['socialclub', 'otherclub']",arts,"Philosophy, History",item11,item4,item1,item5,item4,item3,Mornings,7to9,Agree,Agree,Disagree,Disagree,Sort of Agree,Sort of Agree,Sort of Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,0,0,48,willsee
item2,20,female,male,61,asian,,2,2,junior,"['greeklife', 'otherclub']",engineering,Biomedical Engineering,item6,item4,item7,item2,item5,item8,15:00,7to9,Agree,Agree,Disagree,Disagree,Agree,Sort of Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,Sort of Agree,1,14,7,willsee
item2,19,male,female,66,white,River Edge,3,1,sophomore,"['proffrat', 'socialclub', 'otherclub']",arts,Biology,item5,item5,item7,item7,item1,item7,19:00,7to9,Sort of Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Sort of Agree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,0,3,24,meetfriends
item6,19,female,male,67,white,"Ithaca, NY",2,3,sophomore,"['greeklife', 'socialclub']",cals,Plant Sciences,item13,item2,item6,item5,item5,item3,0:00,4to6,Sort of Agree,Sort of Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Sort of Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,1,7,4,willsee
item2,19,male,female,68,asian,Sleepy Hollow,2,1,sophomore,"['projectteam', 'socialclub']",arts,Computer Science and Economics,item13,item1,item5,item7,item1,item3,22:00,7to9,Agree,Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,0,0,48,willsee
item3,21,female,male,63,asian,"Augusta, GA",2,1,senior,['ta'],humec,"Human Biology, Health and Society",item13,item1,item7,item7,item1,item1,20:00,7to9,Strongly Agree,Agree,Disagree,Disagree,Agree,Sort of Agree,Disagree,Sort of Agree,Agree,Agree,Agree,Sort of Agree,Sort of Agree,Strongly Agree,1,8,36 hours,meetfriends
item5,21,male,female,68,other,New York,1,1,junior,"['profclub', 'socialclub', 'projectteam', 'ta', 'clubsports']",engineering,Electrical and Computer Engineering,item3,item4,item7,item6,item1,item7,20:00,4to6,Agree,Sort of Agree,Sort of Agree,Sort of Agree,Strongly Agree,Sort of Agree,Sort of Agree,Agree,Sort of Agree,Agree,Sort of Agree,Sort of Agree,Disagree,Agree,0,N/a,8?,willsee
item3,19,female,male,65,white,"Great Neck, NY",2,1,sophomore,"['greeklife', 'profclub']",ilr,Industrial and Labor Relations,item10,item6,item5,item5,item5,item3,10:00,7to9,Agree,Sort of Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Disagree,Sort of Agree,Disagree,Agree,Disagree,Strongly Agree,2,11,4,willsee
item2,20,female,male,66,other,"Redwood City, CA",3,2,sophomore,"['athlete', 'otherclub']",engineering,Biomedical engineering,item11,item6,item1,item1,item1,item3,20:00,7to9,Strongly Agree,Agree,Disagree,Disagree,Sort of Agree,Sort of Agree,Sort of Agree,Strongly Agree,Agree,Strongly Agree,Sort of Agree,Sort of Agree,Sort of Agree,Sort of Agree,0,0,5,meetfam
item5,18,male,female,71,asian,Detroit,2,1,freshman,['projectteam'],engineering,Mechanical Engineering,item13,item1,item7,item3,item1,item8,20:00,7to9,Sort of Agree,Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Sort of Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,1,2,2,willsee
item5,21,male,female,71,asian,Chicago,2,1,junior,"['proffrat', 'profclub', 'socialclub', 'culturalclub']",cals,Biology & Society,item13,item4,item6,item6,item3,item8,21:00,7to9,Agree,Agree,Strongly Agree,Agree,Agree,Sort of Agree,Agree,Sort of Agree,Agree,Disagree,Disagree,Disagree,Sort of Agree,Strongly Disagree,2,9,24,willsee
item2,19,female,male,64,latino,Cooper City ,2,2,sophomore,"['greeklife', 'proffrat', 'otherclub']",ilr,Industrial and Labor Relations,item13,item1,item7,item1,item5,item4,12:00,7to9,Agree,Sort of Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Sort of Agree,Disagree,Disagree,Agree,1,18,4,willsee
item1,19,female,male,62,latino,Buenos Aires,2,1,sophomore,"['projectteam', 'socialclub']",engineering,Mechanical Engineering,item13,item1,item3,item4,item3,item8,14:47,4to6,Agree,Sort of Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Sort of Agree,Agree,Sort of Agree,Agree,Disagree,Agree,2,8,72,willsee
item2,19,female,male,65,white,"West Chester, PA",1,3,freshman,"['clubsports', 'socialclub']",arts,Biology and Society,item11,item1,item7,item1,item5,item5,22:00,7to9,Disagree,Sort of Agree,Disagree,Strongly Disagree,Strongly Agree,Sort of Agree,Sort of Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,2,16,24,meetfriends
item2,20,male,female,71,asian,Palo Alto,2,1,sophomore,"['clubsports', 'socialclub', 'culturalclub']",arts,Biological Sciences,item3,item4,item5,item4,item3,item7,8:00 PM,7to9,Agree,Sort of Agree,Disagree,Sort of Agree,Agree,Strongly Agree,Disagree,Disagree,Sort of Agree,Sort of Agree,Disagree,Disagree,Disagree,Agree,2,3,6,willsee
item2,22,female,male,67,white,Houston,2,4,senior,"['greeklife', 'projectteam']",engineering,Operations Research and Engineering,item13,item4,item7,item2,item1,item3,Afternoon & night,7to9,Agree,Agree,Disagree,Strongly Disagree,Sort of Agree,Sort of Agree,Disagree,Agree,Sort of Agree,Sort of Agree,Strongly Agree,Sort of Agree,Disagree,Agree,1,5,8,willsee
item1,21,female,male,69,white,Newton ma,2,2,sophomore,"['projectteam', 'clubsports']",engineering,Environmental engineering ,item10,item5,item1,item5,item1,item4,20:00,7to9,Disagree,Sort of Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Sort of Agree,Sort of Agree,Sort of Agree,Agree,2,2,48,meetfriends
item2,19,female,male,63,white,,2,4,sophomore,"['clubsports', 'socialclub', 'otherclub']",arts,English,item5,item1,item7,item5,item1,item1,16:30,7to9,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Sort of Agree,Sort of Agree,Agree,Sort of Agree,Agree,Disagree,Disagree,Agree,0,0,12,willsee
item5,19,female,male,63,asian,Danbury,2,3,sophomore,"['projectteam', 'clubsports', 'socialclub', 'culturalclub', 'ta']",engineering,Electrical and Computer Engineering,item13,item6,item7,item2,item3,item4,21:00,4to6,Agree,Sort of Agree,Sort of Agree,Disagree,Agree,Disagree,Agree,Disagree,Sort of Agree,Sort of Agree,Agree,Strongly Agree,Sort of Agree,Agree,2,1,8,willsee
item7,21,female,male,61,,,1,1,senior,"['ra', 'clubsports', 'projectteam', 'athlete', 'greeklife', 'proffrat', 'profclub', 'socialclub', 'culturalclub', 'otherclub', 'ta']",engineering,Engineering physics,item6,item1,item7,item3,item4,item5,7:00,4to6,Agree,Agree,Disagree,Strongly Disagree,Sort of Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Sort of Agree,Sort of Agree,Disagree,Agree,,,,
item1,21,female,male,63,other,,2,2,senior,"['ra', 'ta', 'socialclub']",arts,"Biology & Society, Psychology",item5,item5,item1,item6,item5,item7,8:00,7to9,Agree,Sort of Agree,Sort of Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Disagree,Sort of Agree,Disagree,Disagree,Disagree,Sort of Agree,8,2,8,meetfriends
item1,21,male,female,71,white,New York,3,2,senior,"['greeklife', 'socialclub', 'profclub', 'ta']",cals,Applied Economics and Management ,item13,item1,item7,item3,item5,item4,Night,4to6,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,Agree,Sort of Agree,Sort of Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,1,11,24,willsee
item6,21,female,male,65,asian,,3,3,junior,"['ra', 'greeklife', 'projectteam', 'socialclub', 'culturalclub', 'otherclub']",humec,Design + Environmental Analysis,item11,item1,item7,item6,item5,item8,21:00,7to9,Strongly Disagree,Disagree,Sort of Agree,Sort of Agree,Agree,Disagree,Agree,Sort of Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Sort of Agree,Disagree,Agree,1,25,20,willsee
item6,20,male,female,75,white,"Red Bank, NJ",3,3,junior,"['greeklife', 'clubsports', 'socialclub']",arts,Economics,item13,item5,item6,item6,item5,item4,19:30,7to9,Agree,Sort of Agree,Sort of Agree,Agree,Strongly Agree,Agree,Sort of Agree,Disagree,Sort of Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,1,7,6,willsee
item1,21,male,female,66,asian,"Princeton, NJ",4,1,senior,['greeklife'],hotel,Hospitality with Real Estate Minor,item6,item4,item7,item6,item6,item1,20:00,7to9,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Sort of Agree,Sort of Agree,Agree,Disagree,Sort of Agree,Disagree,1,6,3,willsee
item6,19,female,male,64,white,Washington DC,2,4,sophomore,['greeklife'],cals,Biological Sciences,item5,item1,item7,item2,item2,item6,21:00,7to9,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,3,12 months,5 hours,meetfriends
item6,21,male,female,69,white,"Rumson, NJ",4,5,junior,"['greeklife', 'proffrat']",arts,Government ,item6,item1,item7,item6,item5,item6,17:00,4to6,Strongly Agree,Agree,Disagree,Sort of Agree,Strongly Agree,Sort of Agree,Agree,Disagree,Disagree,Strongly Disagree,Sort of Agree,Agree,Strongly Disagree,Agree,1,7 months,48 hours,willsee
item6,20,male,male,68,white,"Stamford, CT",2,1,sophomore,"['otherclub', 'ra']",humec,Design and Environmental Analysis,item6,item6,item6,item6,item1,item4,16:00,7to9,Disagree,Strongly Disagree,Agree,Sort of Agree,Agree,Strongly Disagree,Sort of Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,1,14,24,meetfam
item1,18,female,either,61,latino,"Cleveland, OH",1,1,freshman,,arts,Environmental and Sustainability Sciences,item3,item1,item3,item1,item3,item8,15:33,4to6,Strongly Agree,Strongly Agree,Sort of Agree,Sort of Agree,Strongly Agree,Disagree,Sort of Agree,Agree,Sort of Agree,Strongly Agree,Sort of Agree,Agree,Agree,Agree,1,6,12,willsee
item2,20,female,male,65,asian,"Hartford, CT",1,3,junior,"['athlete', 'culturalclub']",ilr,ILR,item13,item4,item5,item6,item2,item8,16:00,4to6,Strongly Agree,Sort of Agree,Sort of Agree,Disagree,Agree,Disagree,Sort of Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,0,0,24,willsee
item1,19,female,male,63,white,"Mineola, NY",4,3,freshman,['greeklife'],cals,Environmental Engineering ,item3,item6,item7,item4,item5,item1,20:00,4to6,Agree,Sort of Agree,Strongly Agree,Sort of Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,2,2,6,willsee
item2,19,female,male,68,asian,Honolulu ,2,2,freshman,['otherclub'],cals,Biological Sciences,item13,item3,item3,item1,item1,item8,15:00,7to9,Disagree,Disagree,Agree,Disagree,Sort of Agree,Agree,Agree,Agree,Disagree,Disagree,Sort of Agree,Sort of Agree,Sort of Agree,Strongly Agree,3,30,24,meetfriends
item6,20,female,male,69,white,Napa,3,2,sophomore,"['athlete', 'greeklife', 'otherclub']",cals,Communication,item3,item3,item7,item5,item5,item4,20:00,4to6,Agree,Sort of Agree,Strongly Disagree,Strongly Disagree,Agree,Sort of Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Sort of Agree,Sort of Agree,0,0,36,willsee
item6,21,female,male,62,white,,2,3,senior,"['greeklife', 'proffrat']",humec,Human Development ,item5,item4,item6,item6,item5,item4,1:39,4to6,Agree,Sort of Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Sort of Agree,Sort of Agree,Sort of Agree,2,30 months,24,willsee
item6,20,male,female,73,white,Providence ,4,2,sophomore,['athlete'],arts,Economics,item13,item4,item7,item6,item2,item8,12:00,7to9,Agree,Sort of Agree,Disagree,Sort of Agree,Agree,Sort of Agree,Sort of Agree,Disagree,Agree,Sort of Agree,Agree,Sort of Agree,Strongly Disagree,Sort of Agree,3,24,6,willsee
item6,20,female,male,65,white,"Hinsdale, IL",2,2,sophomore,"['greeklife', 'clubsports', 'otherclub']",engineering,Mechanical Engineering,item1,item1,item1,item2,item5,item4,16:10,7to9,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Sort of Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,3,7,36,meetfriends
item2,19,female,female,62,white,"Sleepy Hollow, NY",2,2,sophomore,"['greeklife', 'projectteam', 'otherclub']",cals,Food Science,item10,item3,item3,item2,item5,item4,20:00,4to6,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Sort of Agree,Strongly Agree,0,N/A,N?A,meetfriends
item3,18,male,male,73,white,,2,2,freshman,,cals,Communication,item13,item4,item4,item6,item6,item4,17:00,7to9,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Sort of Agree,Sort of Agree,Strongly Agree,Strongly Agree,Strongly Agree,Sort of Agree,Sort of Agree,Sort of Agree,0,0,12,willsee
item2,19,female,male,67,white,NYC,4,4,sophomore,"['greeklife', 'profclub', 'socialclub']",cals,Applied Economics and Management,item6,item1,item7,item2,item1,item3,9:00,4to6,Sort of Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Sort of Agree,Sort of Agree,Sort of Agree,Sort of Agree,Agree,Agree,Strongly Disagree,Sort of Agree,Sort of Agree,Strongly Disagree,0,0,5,meetfriends
item3,22,male,female,70,white,Syracuse,3,1,senior,"['athlete', 'greeklife', 'profclub', 'clubsports', 'socialclub']",cals,Information science ,item11,item1,item4,item6,item3,item4,2:58,4to6,Sort of Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Sort of Agree,Agree,Sort of Agree,Strongly Agree,1,3,72,willsee
item5,21,female,male,64,,,4,4,senior,"['ra', 'proffrat']",ilr,Industrial & Labor Relations,item7,item3,item7,item3,item4,item1,21:00,7to9,Sort of Agree,Disagree,Disagree,Disagree,Sort of Agree,Strongly Disagree,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,Disagree,Disagree,Disagree,Agree,,,,
item6,19,male,female,67,other,Evanston/Chicago (Hometown is Atlanta),3,2,sophomore,"['greeklife', 'culturalclub']",arts,Economics/Philosophy,item13,item3,item2,item6,item5,item6,2:00,4to6,Sort of Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,5,8,24,willsee
