_id,data.gender,data.genderpref,data.age,data.agepref,data.height,data.ethnicity,data.politics,data.year,data.activities,data.college,data.major,data.friday,data.date,data.work,data.sleephabits,data.plans,data.meal,data.perfectday,data.desscribeyou,data.describepartner,data.todolist,data.startover,data.timeormoney,data.quality,data.p1,data.p2,data.p3,data.p4,data.p5,data.p6,data.p7,data.p8,data.p9,data.p10,data.p11,data.p12,data.p13,data.p14,data.p15,data.p16,data.p17,data.p18,data.introvert,data.numdated,data.longestrelationship,data.commitment,personality
ObjectId(5e3734582dd0db6dee999486),female,"[""male""]",19,"{""youngest"":""18"",""oldest"":""21""}",64,white,3,sophomore,"[""profclub"",""socialclub"",""ta"",""otherclub""]",cals,AEM,pjsnetflix,commons,evening,"{""sleeptime"":""12am"",""waketime"":""9am""}",new,artist,friends,"Type a, funny, blunt","Honest, funny, extroverted ",yes,no,money,humor,Agree,Sort of Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Sort of Agree,Strongly Agree,Agree,Sort of Agree,Strongly Agree,Agree,Sort of Agree,Strongly Agree,Sort of Agree,Disagree,Strongly Agree,Disagree,9,4,9,willsee,ENTJ
ObjectId(5e3734a22dd0db6dee999487),female,"[""male"",""female"",""transmale"",""transfemale""]",19,,62,eastasian,1,sophomore,"[""socialclub""]",engineering,Engineering Physics,netflixchill,bubbletea,morning,"{""sleeptime"":""12"",""waketime"":""8""}",shift,entrepreneur,study,"Hardworking, friendly, trustworthy","Funny, caring, patient",yes,no,time,thoughtfulness,Strongly Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,4,,,fun,ISFP
ObjectId(5e3734af2dd0db6dee999488),female,"[""male""]",18,"{""youngest"":""18"",""oldest"":""20""}",61,southasian,2,freshman,"[""profclub"",""otherclub""]",humec,"Human bio, health, and society ",study,ctb,nocturnal,"{""sleeptime"":""3AM"",""waketime"":""9AM""}",cancel,actor,netflix,"Crazy, smart, funny ","Loyal, funny, calm",no,no,money,reliability,Strongly Agree,Sort of Agree,Disagree,Disagree,Disagree,Sort of Agree,Agree,Sort of Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Sort of Agree,Disagree,Agree,Sort of Agree,Strongly Agree,3,0,0,willsee,INTP
ObjectId(5e3734b22dd0db6dee999489),male,"[""female""]",19,"{""youngest"":""18"",""oldest"":""80""}",67,other,2,sophomore,"[""socialclub"",""clubsports""]",arts,EAS,netflixchill,ctowndinner,afternoon,"{""sleeptime"":""12"",""waketime"":""11""}",cancel,artist,newfood,"Silly, caring, patient","Hardworking, friendly, trustworthy",no,no,time,thoughtfulness,Strongly Agree,Sort of Agree,Sort of Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Sort of Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,1,,,willsee,ISTJ
ObjectId(5e3734fe2dd0db6dee99948a),female,"[""male""]",21,"{""youngest"":""20"",""oldest"":""23""}",65,eastasian,3,senior,"[""projectteam"",""otherclub""]",arts,Information Science,pjsnetflix,commons,evening,"{""sleeptime"":""2"",""waketime"":""9""}",flow,artist,friends,"Calm, impulsive, friendly","Affectionate, outgoing, caring",no,yes,time,thoughtfulness,Strongly Agree,Agree,Strongly Agree,Disagree,Sort of Agree,Agree,Sort of Agree,Agree,Agree,Sort of Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,3,1,2,willsee,ISTP
ObjectId(5e3735002dd0db6dee99948b),female,"[""male""]",19,"{""youngest"":""18"",""oldest"":""22""}",62,other,3,freshman,"[""otherclub"",""socialclub""]",arts,Physics ,netflixchill,bubbletea,evening,"{""sleeptime"":""2AM"",""waketime"":""9AM""}",flow,artist,city,"Funny, easygoing, smart","Caring, intuitive, adventurous ",no,yes,money,thoughtfulness,Disagree,Agree,Strongly Agree,Sort of Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Sort of Agree,Agree,Agree,Disagree,Strongly Agree,Sort of Agree,Disagree,5,2,18,plantomeet,INTP
ObjectId(5e3735062dd0db6dee99948c),female,"[""male""]",19,"{""youngest"":""19"",""oldest"":""30""}",64,black,2,sophomore,"[""none""]",arts,Undeclared,study,ctowndinner,morning,"{""sleeptime"":""11"",""waketime"":""6""}",shift,scientist,city,"Quiet, Considerate, Independent","Funny, Passionate, Confident",yes,yes,time,humor,Agree,Sort of Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Sort of Agree,Agree,Agree,Disagree,Sort of Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Sort of Agree,Agree,3,0,0,willsee,ISTP
ObjectId(5e37351c2dd0db6dee99948d),female,"[""male""]",20,"{""youngest"":""20"",""oldest"":""25""}",66,white,3,junior,"[""greeklife"",""proffrat"",""profclub""]",humec,Fashion Design Management ,bars,bubbletea,afternoon,"{""sleeptime"":""12:00AM"",""waketime"":""8:00AM""}",shift,artist,city,"upbeat, fun, diligent","driven, fun, patient",yes,yes,time,reliability,Sort of Agree,Agree,Sort of Agree,Agree,Agree,Sort of Agree,Agree,Agree,Agree,Disagree,Agree,Sort of Agree,Disagree,Sort of Agree,Disagree,Disagree,Sort of Agree,Sort of Agree,8,0,,willsee,ESTP
ObjectId(5e3735202dd0db6dee99948e),male,"[""female""]",18,"{""youngest"":""18"",""oldest"":""20""}",64,white,2,freshman,"[""clubsports""]",cals,Biology,pjsnetflix,coffee,evening,"{""sleeptime"":""12"",""waketime"":""8""}",flow,scientist,outdoor,"Genuine, compassionate, goofy","Thoughtful, kind, confident",yes,no,money,thoughtfulness,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Sort of Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Sort of Agree,Disagree,Agree,Agree,6,1,1,willsee,ENTP
ObjectId(5e3735332dd0db6dee99948f),male,"[""female"",""transfemale""]",25,"{""youngest"":""22"",""oldest"":""30""}",68,white,1,phd,"[""ta"",""ra""]",cals,Applied Economics and Management,pjsnetflix,commons,morning,"{""waketime"":""5:00"",""sleeptime"":""9:30""}",shift,political,gaming,"Smart, low-key, cool","Intelligent, curious, funny",yes,no,time,reliability,Strongly Agree,Agree,Strongly Disagree,Disagree,Agree,Sort of Agree,Strongly Agree,Disagree,Sort of Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,2,2,9,plantomeet,ISTP
ObjectId(5e3735362dd0db6dee999490),female,"[""male""]",18,"{""youngest"":""18"",""oldest"":""21""}",62,white,4,freshman,"[""greeklife""]",hotel,Hotel Administration,mixer,ctb,afternoon,"{""sleeptime"":""12am "",""waketime"":""9am ""}",flow,actor,friends,"Bubbly, determined, chill","Smart, motivated, funny",yes,no,money,thoughtfulness,Strongly Agree,Agree,Agree,Sort of Agree,Sort of Agree,Sort of Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Sort of Agree,Sort of Agree,Disagree,Agree,Sort of Agree,Strongly Disagree,Disagree,7,1,16,meetfriends,ESFP
ObjectId(5e3735472dd0db6dee999491),female,"[""male""]",20,"{""youngest"":""20"",""oldest"":""28""}",67,eastasian,3,junior,"[""projectteam""]",engineering,Civil Engineering Environmental Focus,pjsnetflix,starbucks,morning,"{""sleeptime"":""1 a.m"",""waketime"":""7 a.m""}",flow,artist,museums,"Charming, smart and funny","Charming, smart and funny",yes,no,time,thoughtfulness,Sort of Agree,Agree,Agree,Agree,Sort of Agree,Strongly Disagree,Sort of Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Sort of Agree,Sort of Agree,Sort of Agree,Strongly Agree,5,2,1 year,willsee,ISTJ
ObjectId(5e3735772dd0db6dee999492),male,"[""male""]",19,"{""youngest"":""18"",""oldest"":""24""}",71,black,2,sophomore,"[""profclub"",""socialclub"",""ta""]",engineering,Computer Science,pjsnetflix,commons,morning,"{""sleeptime"":""12pm"",""waketime"":""8am""}",flow,artist,newfood,"Thoughtful, ambitious, empathetic","Ambitious, funny, charming",no,no,money,thoughtfulness,Agree,Strongly Agree,Disagree,Disagree,Sort of Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Sort of Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,3,3,0,meetfriends,INTP
ObjectId(5e37357c2dd0db6dee999493),male,"[""female""]",26,"{""youngest"":""24"",""oldest"":""30""}",74,white,1,phd,"[""ta""]",cals,Evolutionary Biology,pjsnetflix,coffee,afternoon,"{""sleeptime"":""12"",""waketime"":""8""}",shift,scientist,museums,"Smart, funny, easygoing","Smart, funny, independent",yes,no,time,thoughtfulness,Sort of Agree,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,Disagree,Agree,Agree,Agree,Disagree,Sort of Agree,Sort of Agree,Sort of Agree,Strongly Agree,Sort of Agree,Agree,Disagree,Agree,3,4,40,willsee,ISTJ
ObjectId(5e3735962dd0db6dee999494),female,"[""male""]",18,"{""youngest"":""18"",""oldest"":""21""}",62,white,3,freshman,"[""otherclub"",""socialclub""]",cals,Environment and Sustanability ,mixer,commons,afternoon,"{""sleeptime"":""11:30 PM"",""waketime"":""9:00 AM ""}",shift,political,outdoor,"Enthusiastic, Bubbly, Passionate ","Amiable, Charismatic, Considerate ",yes,no,money,reliability,Sort of Agree,Sort of Agree,Strongly Disagree,Strongly Agree,Disagree,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,Sort of Agree,Strongly Agree,Sort of Agree,Agree,Agree,Sort of Agree,Strongly Agree,Agree,Strongly Disagree,9,3,7,fun,ESTP
ObjectId(5e3735b92dd0db6dee999495),female,"[""male""]",18,"{""youngest"":""17"",""oldest"":""21""}",68,white,2,freshman,"[""otherclub""]",arts,English and Computer Science,pjsnetflix,commons,nocturnal,"{""sleeptime"":""12-1 am"",""waketime"":""9:30 am""}",flow,artist,city,"Sarcastic, optimistic, laid-back","Relaxed, funny, witty",yes,no,time,humor,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Disagree,Sort of Agree,Sort of Agree,Sort of Agree,Sort of Agree,Disagree,Agree,Strongly Agree,Sort of Agree,Agree,Strongly Agree,Sort of Agree,6,1,6,willsee,ENTP
ObjectId(5e3735d52dd0db6dee999496),male,"[""female""]",20,"{""youngest"":""18"",""oldest"":""22""}",71,eastasian,2,sophomore,"[""proffrat"",""profclub""]",arts,Biological Sciences,annex,coffee,evening,"{""sleeptime"":""2 a.m."",""waketime"":""9 a.m. - 10 a.m.""}",flow,artist,city,"smart, humble, charming","attentive, smart, affectionate",no,no,money,thoughtfulness,Sort of Agree,Strongly Agree,Disagree,Agree,Disagree,Sort of Agree,Strongly Agree,Agree,Sort of Agree,Sort of Agree,Agree,Sort of Agree,Strongly Disagree,Sort of Agree,Agree,Agree,Sort of Agree,Strongly Disagree,7,0,0,plantomeet,ESTP
ObjectId(5e3735dc2dd0db6dee999497),female,"[""male""]",21,"{""youngest"":""19"",""oldest"":""25""}",66,white,2,sophomore,"[""proffrat"",""profclub""]",engineering,Operations Research,bars,ctowndinner,evening,"{""sleeptime"":""11:30 pm"",""waketime"":""9:00 am""}",shift,artist,friends,"outgoing, smart, sweet ","funny, kind, smart",yes,no,time,reliability,Sort of Agree,Agree,Disagree,Agree,Sort of Agree,Disagree,Agree,Disagree,Sort of Agree,Disagree,Strongly Agree,Strongly Agree,Sort of Agree,Agree,Sort of Agree,Disagree,Disagree,Disagree,9,3,30,plantomeet,ESTP
ObjectId(5e3735f12dd0db6dee999498),female,"[""male""]",21,"{""youngest"":""20"",""oldest"":""24""}",66,white,3,senior,"[""greeklife"",""otherclub"",""profclub""]",ilr,ILR ,mixer,coffee,morning,"{""sleeptime"":""Midnight"",""waketime"":""8:30 am""}",flow,entrepreneur,city,"Athletic, balanced, positive","Respectful, funny, easy-going",yes,yes,money,thoughtfulness,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Sort of Agree,Agree,Agree,Sort of Agree,Strongly Disagree,Agree,Sort of Agree,Sort of Agree,Sort of Agree,Sort of Agree,Disagree,Strongly Disagree,Agree,6,0,0,willsee,ESTP
ObjectId(5e3736022dd0db6dee999499),male,"[""female""]",22,"{""youngest"":""18"",""oldest"":""21""}",6,eastasian,2,sophomore,"[""projectteam"",""profclub"",""culturalclub""]",arts,Economics and Information Science,pjsnetflix,bubbletea,afternoon,"{""sleeptime"":""1am"",""waketime"":""8am""}",shift,entrepreneur,outdoor,"adventurous, kind, charming","adventurous, kind, funny",yes,yes,time,thoughtfulness,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Sort of Agree,Sort of Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,Sort of Agree,Strongly Agree,7,1,0,plantomeet,ESTP
ObjectId(5e3736042dd0db6dee99949a),female,"[""male""]",18,"{""youngest"":""18"",""oldest"":""21""}",60,southasian,2,freshman,"[""culturalclub"",""profclub"",""otherclub""]",humec,Human Development,pjsnetflix,starbucks,afternoon,"{""sleeptime"":""12"",""waketime"":""9""}",flow,actor,friends,"Caring, fun-loving, determined","Loyal, funny, adventurous",yes,no,time,thoughtfulness,Agree,Sort of Agree,Sort of Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Sort of Agree,7,1,0,willsee,ESTJ
ObjectId(5e37362e2dd0db6dee99949b),female,"[""male""]",22,"{""youngest"":""21"",""oldest"":""25""}",61,white,2,senior,"[""profclub"",""socialclub"",""otherclub"",""ta""]",humec,Human Development,bars,commons,morning,"{""sleeptime"":""12:30"",""waketime"":""7:30""}",flow,political,city,"Smart, driven/ambitious, and compassionate","Honest, funny, and caring",yes,yes,money,humor,Sort of Agree,Sort of Agree,Disagree,Disagree,Disagree,Disagree,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,Agree,Strongly Agree,Agree,Strongly Agree,Sort of Agree,Sort of Agree,Agree,Agree,4,2,20,willsee,INTJ
ObjectId(5e37364a2dd0db6dee99949c),female,"[""male""]",22,"{""youngest"":""19"",""oldest"":""25""}",63,white,3,senior,"[""greeklife"",""socialclub"",""ta""]",hotel,Hotel,bars,ctb,nocturnal,"{""sleeptime"":""2 AM"",""waketime"":""10 AM""}",flow,actor,city,"confident, sarcastic, curious","respectful, motivated, kind",yes,yes,money,humor,Agree,Strongly Agree,Sort of Agree,Disagree,Strongly Agree,Disagree,Sort of Agree,Agree,Agree,Strongly Disagree,Agree,Sort of Agree,Agree,Agree,Sort of Agree,Disagree,Agree,Strongly Agree,8,1,60,meetfriends,ESTP
ObjectId(5e3736502dd0db6dee99949d),female,"[""male""]",22,"{""youngest"":""21"",""oldest"":""26""}",63,white,2,senior,"[""greeklife"",""proffrat"",""ta"",""otherclub""]",cals,Applied Economics and Management ,bars,ctb,evening,"{""sleeptime"":""2 am"",""waketime"":""10 am""}",shift,actor,city,"Smart, caring, chill","Intelligent, funny, caring ",yes,no,time,thoughtfulness,Agree,Strongly Agree,Disagree,Sort of Agree,Sort of Agree,Disagree,Agree,Agree,Disagree,Sort of Agree,Agree,Agree,Disagree,Disagree,Sort of Agree,Sort of Agree,Sort of Agree,Strongly Agree,6,1,15,willsee,ESTP
ObjectId(5e3736942dd0db6dee99949e),female,"[""male""]",19,"{""youngest"":""18"",""oldest"":""21""}",69,white,2,sophomore,"[""greeklife"",""profclub"",""clubsports"",""socialclub""]",engineering,Electrical and Computer Engineering,mixer,ctb,evening,"{""sleeptime"":""1:30AM"",""waketime"":""9:00AM""}",flow,artist,outdoor,"Caring, positive, quiet","Funny, kind, honest",yes,yes,time,humor,Agree,Strongly Agree,Sort of Agree,Disagree,Disagree,Disagree,Agree,Sort of Agree,Agree,Sort of Agree,Sort of Agree,Strongly Agree,Sort of Agree,Agree,Disagree,Agree,Agree,Agree,5,0,0,willsee,ISTP
ObjectId(5e3736bd2dd0db6dee9994a0),female,"[""female""]",18,"{""youngest"":""18"",""oldest"":""20""}",65,white,3,freshman,"[""greeklife"",""profclub""]",engineering,ORIE,mixer,commons,afternoon,"{""sleeptime"":""12"",""waketime"":""9""}",shift,actor,city,"Outgoing, compassionate, determined ","Charming, hardworking, loves to have fun ",yes,no,money,thoughtfulness,Sort of Agree,Strongly Agree,Sort of Agree,Sort of Agree,Strongly Agree,Disagree,Sort of Agree,Strongly Agree,Sort of Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,8,2,10,willsee,ENTP
ObjectId(5e3737042dd0db6dee9994a1),male,"[""male""]",18,"{""youngest"":""18"",""oldest"":""19""}",68,eastasian,2,freshman,"[""otherclub""]",cals,Communication,pjsnetflix,bubbletea,afternoon,"{""sleeptime"":""11"",""waketime"":""10""}",shift,artist,friends,"Wholesome, Sweet, Thoughtful","In touch with their feelings, Compassionate, Communicates well",no,no,money,thoughtfulness,Sort of Agree,Sort of Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Sort of Agree,Disagree,Sort of Agree,Agree,Strongly Agree,Sort of Agree,Disagree,Disagree,Disagree,Disagree,4,0,0,willsee,INTJ
ObjectId(5e3737242dd0db6dee9994a2),male,"[""male""]",19,"{""youngest"":""18"",""oldest"":""20""}",74,southasian,2,freshman,"[""none""]",arts,Math,annex,bubbletea,nocturnal,"{""sleeptime"":""2 am"",""waketime"":""9:30 am""}",flow,scientist,study,"Smart, Witty, Driven","Smart, Witty, Driven",no,no,time,reliability,Sort of Agree,Sort of Agree,Strongly Agree,Agree,Agree,Disagree,Sort of Agree,Agree,Strongly Agree,Sort of Agree,Strongly Agree,Sort of Agree,Sort of Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,6,1,8,plantomeet,ENTJ
ObjectId(5e3737242dd0db6dee9994a3),female,"[""male""]",18,"{""youngest"":""18"",""oldest"":""20""}",62,southasian,2,freshman,"[""greeklife"",""profclub"",""culturalclub""]",arts,Undecided ,mixer,ctb,morning,"{""sleeptime"":""1"",""waketime"":""9""}",shift,entrepreneur,city,"sociable, upbeat, funny","Funny, ambitious, kind ",yes,no,money,humor,Agree,Agree,Disagree,Strongly Agree,Sort of Agree,Sort of Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Sort of Agree,Strongly Agree,Disagree,8,1,n/a,fun,ESTP
ObjectId(5e3737582dd0db6dee9994a4),female,"[""male""]",19,"{""youngest"":""18"",""oldest"":""23""}",64,other,3,junior,"[""profclub"",""clubsports"",""socialclub"",""otherclub""]",engineering,BME,mixer,commons,morning,"{""sleeptime"":""12:00am"",""waketime"":""7:30am""}",shift,scientist,city,"Wild (in a funny/fun way), inquisitive, loyal","Funny, charming, adventerous",yes,yes,time,thoughtfulness,Disagree,Strongly Agree,Sort of Agree,Disagree,Agree,Strongly Disagree,Sort of Agree,Sort of Agree,Agree,Sort of Agree,Strongly Agree,Agree,Sort of Agree,Agree,Disagree,Sort of Agree,Agree,Sort of Agree,8,1,10 (on and off),willsee,ENTP
ObjectId(5e3737632dd0db6dee9994a5),female,"[""male""]",19,"{""youngest"":""18"",""oldest"":""25""}",70,other,3,sophomore,"[""greeklife"",""proffrat"",""otherclub"",""clubsports""]",cals,AEM ,mixer,bubbletea,evening,"{""sleeptime"":""1 AM"",""waketime"":""8AM""}",new,artist,friends,"charismatic, funny, smart","charismatic, funny, smart",yes,yes,time,humor,Disagree,Sort of Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Sort of Agree,Disagree,Strongly Agree,Agree,Sort of Agree,Strongly Agree,Sort of Agree,Disagree,Agree,Sort of Agree,8,3,6,willsee,ESTJ
ObjectId(5e3737662dd0db6dee9994a6),male,"[""female""]",23,"{""youngest"":""21"",""oldest"":""27""}",71,southasian,3,phd,"[""clubsports"",""ta""]",engineering,Systems Engineering,pjsnetflix,commons,morning,"{""sleeptime"":""12 am"",""waketime"":""7 am""}",flow,scientist,newfood,"smart, humorous, laid back","funny, smart, humble",no,yes,money,reliability,Agree,Sort of Agree,Disagree,Sort of Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Sort of Agree,Sort of Agree,Disagree,Agree,Disagree,Strongly Agree,Sort of Agree,Agree,5,2,,willsee,ISTJ
ObjectId(5e3737d72dd0db6dee9994a9),female,"[""male""]",19,"{""youngest"":""18"",""oldest"":""21""}",67,white,3,freshman,"[""greeklife"",""clubsports"",""otherclub""]",hotel,Hotel Administration,bars,ctb,evening,"{""sleeptime"":""12"",""waketime"":""9""}",flow,actor,city,"sweet, sarcastic, caring","sweet, funny, outgoing",yes,no,money,thoughtfulness,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Sort of Agree,Sort of Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,9,1,1,meetfriends,ESTP
ObjectId(5e3737ea2dd0db6dee9994aa),male,"[""female""]",18,"{""youngest"":""18"",""oldest"":""18""}",69,eastasian,4,freshman,"[""greeklife"",""clubsports"",""otherclub""]",cals,AEM,pjsnetflix,bubbletea,evening,"{""sleeptime"":""1"",""waketime"":""11""}",flow,entrepreneur,friends,"funny, smart, charming, etc.","smart, cute, wholesome",no,no,time,thoughtfulness,Strongly Agree,Agree,Strongly Agree,Sort of Agree,Disagree,Sort of Agree,Agree,Sort of Agree,Agree,Sort of Agree,Strongly Agree,Strongly Agree,Sort of Agree,Sort of Agree,Agree,Strongly Agree,Sort of Agree,Strongly Agree,4,2,6,fun,ISTP
ObjectId(5e3737fb2dd0db6dee9994ab),male,"[""female""]",18,"{""youngest"":""17"",""oldest"":""19""}",68,white,2,freshman,"[""socialclub"",""otherclub""]",engineering,Computer Science,mixer,coffee,nocturnal,"{""sleeptime"":""2"",""waketime"":""9""}",flow,entrepreneur,friends,"Smart, Loyal, Compassionate","Trustworthy, Smart, Fun",yes,no,money,reliability,Agree,Agree,Agree,Sort of Agree,Sort of Agree,Disagree,Disagree,Disagree,Sort of Agree,Sort of Agree,Strongly Agree,Agree,Sort of Agree,Sort of Agree,Sort of Agree,Sort of Agree,Strongly Agree,Sort of Agree,5,1,8,willsee,ISTP
ObjectId(5e3737ff2dd0db6dee9994ac),female,"[""male""]",24,"{""youngest"":""23"",""oldest"":""28""}",62,black,2,senior,"[""otherclub"",""profclub""]",arts,Computer Science,study,bubbletea,morning,"{""sleeptime"":""12am"",""waketime"":""9am""}",shift,scientist,city,"smart, curious, shy","smart, sensitive, quirky",no,yes,time,thoughtfulness,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Sort of Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,1,2,40,plantomeet,INFP
ObjectId(5e3738392dd0db6dee9994b0),female,"[""male""]",21,"{""youngest"":""20"",""oldest"":""24""}",63,white,4,junior,"[""greeklife"",""projectteam"",""otherclub"",""ta""]",engineering,Environmental Engineering,bars,ctowndinner,afternoon,"{""sleeptime"":""12"",""waketime"":""8""}",flow,entrepreneur,city,"Passionate, Adventurous, Genuine","Intelligent, Passionate, Adventurous",yes,no,money,reliability,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Sort of Agree,Agree,Agree,Sort of Agree,Agree,Sort of Agree,Agree,Sort of Agree,Agree,Sort of Agree,7,3,6,willsee,ESTP
ObjectId(5e37384b2dd0db6dee9994b1),female,"[""male""]",19,"{""youngest"":""19"",""oldest"":""25""}",68,eastasian,3,sophomore,"[""profclub"",""ta""]",hotel,Hotel ,bars,commons,morning,"{""sleeptime"":""12"",""waketime"":""8""}",shift,entrepreneur,newfood,"Enthusiastic, insightful, fun ","Intelligent, witty, easy-going ",yes,yes,money,thoughtfulness,Disagree,Agree,Disagree,Sort of Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Disagree,4,2,12,meetfriends,ISFP
ObjectId(5e37385d2dd0db6dee9994b2),female,"[""male""]",22,"{""youngest"":""20"",""oldest"":""24""}",63,white,3,senior,"[""greeklife"",""proffrat"",""projectteam"",""ta"",""socialclub""]",engineering,Chemical Engineering,bars,coffee,morning,"{""sleeptime"":""12am"",""waketime"":""7:30am""}",flow,athlete,city,"Funny, energetic, smart","Thoughtful, funny, spontaneous ",yes,yes,time,thoughtfulness,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Sort of Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,10,2,22,willsee,ENTP
ObjectId(5e3738712dd0db6dee9994b3),male,"[""female""]",18,"{""youngest"":""17"",""oldest"":""19""}",63,eastasian,2,freshman,"[""projectteam"",""otherclub""]",engineering,CS,pjsnetflix,dininghall,nocturnal,"{""sleeptime"":""03:00"",""waketime"":""09:00""}",flow,scientist,outdoor,"funny, smart, kind","funny, smart, kind",yes,yes,time,thoughtfulness,Sort of Agree,Sort of Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Sort of Agree,Agree,Disagree,Strongly Agree,Agree,Sort of Agree,Agree,Disagree,Sort of Agree,Disagree,Strongly Agree,3,0,0,plantomeet,ISFJ
ObjectId(5e3738912dd0db6dee9994b4),male,"[""female""]",18,"{""youngest"":""18"",""oldest"":""22""}",73,white,2,freshman,"[""athlete""]",cals,Environmental Engineering ,annex,ctb,evening,"{""sleeptime"":""12"",""waketime"":""8""}",new,athlete,friends,"Quiet, witty, kind","Witty, kind, understanding ",no,no,time,thoughtfulness,Agree,Sort of Agree,Disagree,Disagree,Sort of Agree,Disagree,Sort of Agree,Sort of Agree,Sort of Agree,Disagree,Agree,Agree,Disagree,Sort of Agree,Sort of Agree,Sort of Agree,Disagree,Disagree,4,2,14,willsee,ISTJ
ObjectId(5e3738af2dd0db6dee9994b5),female,"[""male""]",19,"{""youngest"":""18"",""oldest"":""22""}",63,southasian,1,sophomore,"[""culturalclub"",""otherclub""]",cals,Biological Sciences,pjsnetflix,bubbletea,evening,"{""sleeptime"":""12:30"",""waketime"":""7:30""}",flow,scientist,friends,"sarcastic, caring, hardworking","ambitious, funny, caring",yes,no,time,humor,Agree,Agree,Strongly Disagree,Sort of Agree,Sort of Agree,Disagree,Disagree,Strongly Disagree,Sort of Agree,Disagree,Strongly Agree,Disagree,Sort of Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,7,1,2,willsee,ESFP
ObjectId(5e3738b12dd0db6dee9994b6),male,"[""male"",""female""]",18,"{""youngest"":""18"",""oldest"":""19""}",74,eastasian,3,freshman,"[""otherclub""]",engineering,ECE,mixer,bubbletea,nocturnal,"{""sleeptime"":""1am"",""waketime"":""9am""}",flow,scientist,friends,"Funny, forgetful, unpredictable ","Funny, friendly, empathetic",no,yes,time,humor,Strongly Agree,Sort of Agree,Agree,Sort of Agree,Disagree,Sort of Agree,Agree,Sort of Agree,Strongly Agree,Sort of Agree,Strongly Agree,Agree,Agree,Strongly Agree,Sort of Agree,Agree,Disagree,Strongly Agree,4,1,13,meetfriends,ISTP
